,date,Federal Funds Rate
0,2010-01-01,{'v': '0.12'}
1,2010-02-01,{'v': '0.12'}
2,2010-03-01,{'v': '0.16'}
3,2010-04-01,{'v': '0.20'}
4,2010-05-01,{'v': '0.20'}
5,2010-06-01,{'v': '0.15'}
6,2010-07-01,{'v': '0.19'}
7,2010-08-01,{'v': '0.19'}
8,2010-09-01,{'v': '0.20'}
9,2010-10-01,{'v': '0.19'}
10,2010-11-01,{'v': '0.20'}
11,2010-12-01,{'v': '0.19'}
12,2011-01-01,{'v': '0.17'}
13,2011-02-01,{'v': '0.15'}
14,2011-03-01,{'v': '0.13'}
15,2011-04-01,{'v': '0.10'}
16,2011-05-01,{'v': '0.10'}
17,2011-06-01,{'v': '0.08'}
18,2011-07-01,{'v': '0.06'}
19,2011-08-01,{'v': '0.09'}
20,2011-09-01,{'v': '0.08'}
21,2011-10-01,{'v': '0.07'}
22,2011-11-01,{'v': '0.08'}
23,2011-12-01,{'v': '0.08'}
24,2012-01-01,{'v': '0.09'}
25,2012-02-01,{'v': '0.09'}
26,2012-03-01,{'v': '0.14'}
27,2012-04-01,{'v': '0.13'}
28,2012-05-01,{'v': '0.15'}
29,2012-06-01,{'v': '0.17'}
30,2012-07-01,{'v': '0.14'}
31,2012-08-01,{'v': '0.13'}
32,2012-09-01,{'v': '0.15'}
33,2012-10-01,{'v': '0.17'}
34,2012-11-01,{'v': '0.16'}
35,2012-12-01,{'v': '0.17'}
36,2013-01-01,{'v': '0.14'}
37,2013-02-01,{'v': '0.15'}
38,2013-03-01,{'v': '0.15'}
39,2013-04-01,{'v': '0.15'}
40,2013-05-01,{'v': '0.09'}
41,2013-06-01,{'v': '0.10'}
42,2013-07-01,{'v': '0.09'}
43,2013-08-01,{'v': '0.08'}
44,2013-09-01,{'v': '0.08'}
45,2013-10-01,{'v': '0.08'}
46,2013-11-01,{'v': '0.09'}
47,2013-12-01,{'v': '0.09'}
48,2014-01-01,{'v': '0.07'}
49,2014-02-01,{'v': '0.07'}
50,2014-03-01,{'v': '0.08'}
51,2014-04-01,{'v': '0.09'}
52,2014-05-01,{'v': '0.09'}
53,2014-06-01,{'v': '0.10'}
54,2014-07-01,{'v': '0.09'}
55,2014-08-01,{'v': '0.09'}
56,2014-09-01,{'v': '0.09'}
57,2014-10-01,{'v': '0.09'}
58,2014-11-01,{'v': '0.10'}
59,2014-12-01,{'v': '0.12'}
60,2015-01-01,{'v': '0.12'}
61,2015-02-01,{'v': '0.12'}
62,2015-03-01,{'v': '0.12'}
63,2015-04-01,{'v': '0.13'}
64,2015-05-01,{'v': '0.13'}
65,2015-06-01,{'v': '0.13'}
66,2015-07-01,{'v': '0.13'}
67,2015-08-01,{'v': '0.15'}
68,2015-09-01,{'v': '0.12'}
69,2015-10-01,{'v': '0.12'}
70,2015-11-01,{'v': '0.12'}
71,2015-12-01,{'v': '0.36'}
72,2016-01-01,{'v': '0.38'}
73,2016-02-01,{'v': '0.38'}
74,2016-03-01,{'v': '0.37'}
75,2016-04-01,{'v': '0.37'}
76,2016-05-01,{'v': '0.37'}
77,2016-06-01,{'v': '0.40'}
78,2016-07-01,{'v': '0.40'}
79,2016-08-01,{'v': '0.39'}
80,2016-09-01,{'v': '0.40'}
81,2016-10-01,{'v': '0.41'}
82,2016-11-01,{'v': '0.40'}
83,2016-12-01,{'v': '0.66'}
84,2017-01-01,{'v': '0.66'}
85,2017-02-01,{'v': '0.66'}
86,2017-03-01,{'v': '0.91'}
87,2017-04-01,{'v': '0.91'}
88,2017-05-01,{'v': '0.90'}
89,2017-06-01,{'v': '1.16'}
90,2017-07-01,{'v': '1.16'}
91,2017-08-01,{'v': '1.16'}
92,2017-09-01,{'v': '1.16'}
93,2017-10-01,{'v': '1.16'}
94,2017-11-01,{'v': '1.16'}
95,2017-12-01,{'v': '1.42'}
96,2018-01-01,{'v': '1.41'}
97,2018-02-01,{'v': '1.41'}
98,2018-03-01,{'v': '1.68'}
99,2018-04-01,{'v': '1.70'}
100,2018-05-01,{'v': '1.70'}
101,2018-06-01,{'v': '1.92'}
102,2018-07-01,{'v': '1.91'}
103,2018-08-01,{'v': '1.92'}
104,2018-09-01,{'v': '1.92'}
105,2018-10-01,{'v': '2.20'}
106,2018-11-01,{'v': '2.20'}
107,2018-12-01,{'v': '2.40'}
108,2019-01-01,{'v': '2.40'}
109,2019-02-01,{'v': '2.40'}
110,2019-03-01,{'v': '2.41'}
111,2019-04-01,{'v': '2.44'}
112,2019-05-01,{'v': '2.38'}
113,2019-06-01,{'v': '2.38'}
114,2019-07-01,{'v': '2.40'}
115,2019-08-01,{'v': '2.12'}
116,2019-09-01,{'v': '1.90'}
117,2019-10-01,{'v': '1.83'}
118,2019-11-01,{'v': '1.55'}
119,2019-12-01,{'v': '1.55'}
120,2020-01-01,{'v': '1.55'}
121,2020-02-01,{'v': '1.58'}
122,2020-03-01,{'v': '0.15'}
123,2020-04-01,{'v': '0.04'}
124,2020-05-01,{'v': '0.05'}
125,2020-06-01,{'v': '0.09'}
126,2020-07-01,{'v': '0.09'}
127,2020-08-01,{'v': '0.09'}
128,2020-09-01,{'v': '0.09'}
129,2020-10-01,{'v': '0.09'}
